"Alias";"Product";"AddressType";"Address";"Operation"
"Office 365";"o365";"IPv6";"2603:1020:200::682f:a1d8/128";"To added"
"Office 365";"o365";"IPv6";"2603:1020:201::3c4/128";"To added"
"Office 365";"o365";"IPv6";"2603:1030:603::6a/128";"To added"
"Office 365";"o365";"IPv6";"2603:1030:603::72/128";"To added"
"Office 365";"o365";"IPv6";"2603:1030:a02::118/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:200::111/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:400::5d/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:400::5e/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:400::7b/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:401::c/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:601::2f/128";"To added"
"Office 365";"o365";"IPv6";"2603:1040:601::1e7/128";"To added"
"Office 365";"o365";"IPv6";"2801:80:1d0:1c00::/64";"To added"
"Office 365";"o365";"IPv6";"2a01:111:2003::/48";"To added"
"Office 365";"o365";"IPv6";"2a01:111:200a:a::/64";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202c::/48";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202e::/48";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202e::190/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202e::191/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202e::156/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:202d::/48";"To added"
"Office 365";"o365";"IPv6";"2a01:111:2035:8::/64";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:8000::4134:902e/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:6000::4134:b0ba/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:1002::4134:c0cb/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:1002::4134:c440/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:1002::4134:d9ee/128";"To added"
"Office 365";"o365";"IPv6";"2a01:111:f100:1004::4134:f0c8/128";"To added"
